Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,,
105,21,7,2010,Rdoucette,,,,,23,GA1,GA1,20,m,35,,,,,,,,,,,,
106,21,7,2010,Rdoucette,,,,,23,GA1,GA1,20,m,27,,,,,,,,,,,,
107,21,7,2010,Rdoucette,,,,,23,GA1,GA1,20,f,42,,,,,,,,,,,,
108,21,7,2010,Rdoucette,,,,,23,GA1,GA1,20,f,30,,,,,,,,,,,,
109,21,7,2010,Rvienneau,,,,,19,GA1,GA2,1,m,44,,,,,,,,,,,,
110,21,7,2010,Rvienneau,,,,,19,GA1,GA2,1,f,32,,,,,,,,,,,,
111,21,7,2010,Rvienneau,,,,,19,GA1,GA2,1,m,21,,,,,,,,,,,,
112,21,7,2010,Rvienneau,,,,,19,GA1,GA2,1,f,36,,,,,,,,,,,,
113,21,7,2010,Rvienneau,,,,,19,GA1,GA2,1,m,33,,,,,,,,,,,,
114,21,7,2010,Rvienneau,,,,,19,GA1,GA2,11,m,67,,,,,,,,,,,,
115,21,7,2010,Rvienneau,,,,,19,GA1,GA2,11,m,36,,,,,,,,,,,,
116,21,7,2010,Rvienneau,,,,,19,GA1,GA2,11,m,51,,,,,,,,,,,,
117,21,7,2010,Rvienneau,,,,,19,GA1,GA2,11,f,44,,,,,,,,,,,,
118,21,7,2010,Rvienneau,,,,,19,GA1,GA2,12,f,55,,,,,,,,,,,,
119,21,7,2010,Rvienneau,,,,,19,GA1,GA2,12,f,51,,,,,,,,,,,,
120,21,7,2010,Rvienneau,,,,,19,GA1,GA2,12,f,43,,,,,,,,,,,,
121,21,7,2010,Rvienneau,,,,,19,GA1,GA2,12,f,50,,,,,,,,,,,,
122,21,7,2010,Rvienneau,,,,,19,GA1,GA2,12,f,47,,,,,,,,,,,,
123,21,7,2010,Rvienneau,,,,,19,GA1,GA2,13,m,42,,,,,,,,,,,,
124,21,7,2010,Rvienneau,,,,,19,GA1,GA2,13,f,52,,,,,,,,,,,,
125,21,7,2010,Rvienneau,,,,,19,GA1,GA2,13,m,30,,,,,,,,,,,,
126,21,7,2010,Rvienneau,,,,,19,GA1,GA2,13,m,40,,,,,,,,,,,,
127,21,7,2010,Rvienneau,,,,,19,GA1,GA2,13,f,32,,,,,,,,,,,,
128,21,7,2010,Rvienneau,,,,,19,GA1,GA2,14,f,49,,,,,,,,,,,,
129,21,7,2010,Rvienneau,,,,,19,GA1,GA2,14,f,38,,,,,,,,,,,,
130,21,7,2010,Rvienneau,,,,,19,GA1,GA2,14,i,20,,,,,,,,,,,,
131,21,7,2010,Rvienneau,,,,,19,GA1,GA2,15,m,31,,,,,,,,,,,,
132,21,7,2010,Rvienneau,,,,,19,GA1,GA2,15,m,45,,,,,,,,,,,,
133,21,7,2010,Rvienneau,,,,,19,GA1,GA2,15,m,45,,,,,,,,,,,,
134,21,7,2010,Rvienneau,,,,,19,GA1,GA2,15,m,49,,,,,,,,,,,,
135,21,7,2010,Rvienneau,,,,,19,GA1,GA2,16,m,22,,,,,,,,,,,,
136,21,7,2010,Rvienneau,,,,,19,GA1,GA2,16,f,33,,,,,,,,,,,,
137,21,7,2010,Rvienneau,,,,,19,GA1,GA2,16,m,60,,,,,,,,,,,,
138,21,7,2010,Rvienneau,,,,,19,GA1,GA2,16,m,40,,,,,,,,,,,,
139,21,7,2010,Rvienneau,,,,,19,GA1,GA2,16,f,32,,,,,,,,,,,,
140,21,7,2010,Rvienneau,,,,,19,GA1,GA2,17,f,26,,,,,,,,,,,,
141,21,7,2010,Rvienneau,,,,,19,GA1,GA2,17,m,14,,,,,,,,,,,,
142,21,7,2010,Rvienneau,,,,,19,GA1,GA2,17,f,37,,,,,,,,,,,,
143,21,7,2010,Rvienneau,,,,,19,GA1,GA2,17,i,18,,,,,,,,,,,,
144,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,m,57,,,,,,,,,,,,
145,21,7,2010,Rvienneau,,,,,19,GA1,GA2,18,f,52,,,,,,,,,,,,
