Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,Début - lat.,Début - long.,Fin - lat.,Fin - long.
53,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,11,f,47,,0,0,1,0,0,1,simple,,dur simple,,47.84283333,65.05066667,47.843,65.04933333
54,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,12,m,65,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
55,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,13,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
56,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,14,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
57,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,15,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
58,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,16,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
59,21,6,2000,Mcomeau,4750.57,6503.04,4750.58,6502.96,,AB1,2,17,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
63,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,1,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
64,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,2,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
65,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,3,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
66,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,4,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
67,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,5,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
73,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,11,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
74,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,12,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
76,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,14,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
78,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,16,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
79,21,6,2000,Elandry,4750.57,6503.04,4750.58,6502.96,,AB1,2,17,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84283333,65.05066667,47.843,65.04933333
83,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,1,,,,0,0,1,1,0,1,simple,,dur algue cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
84,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,2,,,,0,0,1,1,1,0,simple,,dur algue gravier simple,,47.84183333,65.05033333,47.84216667,65.04916667
86,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,4,,,,0,0,1,0,1,0,simple,,dur gravier simple,,47.84183333,65.05033333,47.84216667,65.04916667
87,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,5,,,,0,0,1,0,1,0,simple,,dur gravier simple,,47.84183333,65.05033333,47.84216667,65.04916667
89,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,7,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
90,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,8,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
91,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,9,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
93,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,11,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
94,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,12,m,54,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
95,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,15,f,86,,0,0,1,0,0,1,Complexe,,dur cailloux complexe,,47.84183333,65.05033333,47.84216667,65.04916667
96,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,14,m,39,,0,0,1,0,1,1,Complexe,,dur gravier cailloux complexe,,47.84183333,65.05033333,47.84216667,65.04916667
98,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,16,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
99,21,6,2000,Mcomeau,4750.51,6503.02,4750.53,6502.95,,AB1,3,17,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
103,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,1,,,,0,0,0,1,0,1,simple,,algue cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
106,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,4,,,,0,0,1,0,1,0,simple,,dur gravier simple,,47.84183333,65.05033333,47.84216667,65.04916667
107,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,5,,,,0,0,1,0,1,0,simple,,dur gravier simple,,47.84183333,65.05033333,47.84216667,65.04916667
108,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,6,m,39,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
109,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,6,f,62,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
110,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,7,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
111,21,6,2000,Glandry,4750.51,6503.02,4750.53,6502.95,,AB1,3,8,,,,0,0,1,0,0,1,simple,,dur cailloux simple,,47.84183333,65.05033333,47.84216667,65.04916667
