Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Transect,Trans,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,
40,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,29,AB2,1,17,,,,0,0,1,0,1,1,Simple,,,,
41,20,8,2001,Glandry,4750.417,6504.043,4750.417,6504.124,29,AB2,1,18,f,48,,0,0,1,0,0,1,Simple,,,,
44,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,1,m,33,,0,0,0,0,1,1,Simple,,,,
45,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,2,f,30,,0,0,0,0,1,1,Simple,,,,
46,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,2,m,50,,0,0,0,0,1,1,Simple,,,,
47,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,3,f,39,,0,0,0,0,1,1,Simple,,,,
48,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,5,i,32,±30,0,0,1,0,0,0,Simple,,,,
49,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,5,f,36,,0,0,1,0,0,1,Simple,,,,
50,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,6,m,17,,0,0,0,0,1,1,Simple,,,,
51,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,6,m,62,,0,0,0,0,1,1,Simple,,,,
52,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,6,f,58,,0,0,0,0,1,1,Simple,,,,
53,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,7,I,70,Canner,0,0,0,0,1,1,Complexe,,,,
54,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,7,I,71,Canner,0,0,0,0,1,1,Complexe,,,,
55,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,31,AB2,2,8,,,,0,0,1,0,0,1,Simple,,,,
58,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,11,m,49,,0,0,1,0,0,1,Simple,,,,
60,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,13,,,,0,0,1,0,1,1,Simple,,,,
61,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,14,,,,0,0,0,0,1,1,Simple,,,,
62,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,15,,,,0,0,0,0,1,1,Simple,,,,
63,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,16,,,,0,0,1,0,1,1,Simple,,,,
65,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,18,i,23,±20,0,0,0,0,1,1,Simple,,,,
66,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,18,m,60,,0,0,0,0,1,1,Simple,,,,
67,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,19,m,27,,0,0,1,0,1,1,Simple,,,,
68,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,19,I,69,Canner,0,0,1,0,1,1,Simple,,,,
69,20,8,2001,Mcomeau,4750.415,6504.216,4750.403,6504.285,32,AB2,2,20,f,69,,0,0,0,0,1,1,Simple,,,,
70,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,1,b1,75,,0,0,1,0,0,1,Simple,,,,
71,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,1,b1,71,,0,0,1,0,0,1,Simple,,,,
72,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,2,m,29,,0,0,1,0,0,1,Simple,,,,
73,20,8,2001,Glandry,4750.415,6504.216,4750.403,6504.285,32,AB2,2,3,,,,0,0,1,0,0,1,Simple,,,,
