Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,
98,18,6,2014,Dgiard,,,,,26,SH,3,16,m,108,,,,,,,,,,,,,
99,18,6,2014,Dgiard,,,,,26,SH,3,16,f,85,,,,,,,,,,,,,
100,18,6,2014,Dgiard,,,,,26,SH,3,17,f,42,,,,,,,,,,,,,
101,18,6,2014,Dgiard,,,,,26,SH,3,17,m,73,,,,,,,,,,,,,
102,18,6,2014,Dgiard,,,,,26,SH,3,18,f,75,,,,,,,,,,,,,
103,18,6,2014,Dgiard,,,,,26,SH,3,18,m,40,,,,,,,,,,,,,
104,18,6,2014,Dgiard,,,,,26,SH,3,19,m,65,,,,,,,,,,,,,
105,18,6,2014,Dgiard,,,,,26,SH,3,19,m,48,,,,,,,,,,,,,
106,18,6,2014,Dgiard,,,,,26,SH,3,19,m,39,,,,,,,,,,,,,
107,18,6,2014,Dgiard,,,,,26,SH,3,20,m,54,,,,,,,,,,,,,
108,18,6,2014,Dgiard,,,,,26,SH,3,20,m,41,,,,,,,,,,,,,
109,18,6,2014,Bcomeau,,,,,26,SH,3,1,i,90,,,,,,,,,,,,,
110,18,6,2014,Bcomeau,,,,,26,SH,3,5,i,10,,,,,,,,,,,,,
111,18,6,2014,Bcomeau,,,,,26,SH,3,6,f,24,,,,,,,,,,,,,
112,18,6,2014,Bcomeau,,,,,26,SH,3,7,f,29,,,,,,,,,,,,,
113,18,6,2014,Bcomeau,,,,,26,SH,3,7,m,25,,,,,,,,,,,,,
114,18,6,2014,Bcomeau,,,,,26,SH,3,7,f,78,,,,,,,,,,,,,
115,18,6,2014,Bcomeau,,,,,26,SH,3,8,,,,,,,,,,,,,,,
116,18,6,2014,Bcomeau,,,,,26,SH,3,9,i,15,,,,,,,,,,,,,
117,18,6,2014,Bcomeau,,,,,26,SH,3,9,i,18,,,,,,,,,,,,,
118,18,6,2014,Bcomeau,,,,,26,SH,3,9,i,21,,,,,,,,,,,,,
119,18,6,2014,Bcomeau,,,,,26,SH,3,11,,,,,,,,,,,,,,,
120,18,6,2014,Bcomeau,,,,,26,SH,3,12,,,,,,,,,,,,,,,
121,18,6,2014,Bcomeau,,,,,26,SH,3,13,,,,,,,,,,,,,,,
122,18,6,2014,Bcomeau,,,,,26,SH,3,14,,,,,,,,,,,,,,,
123,18,6,2014,Bcomeau,,,,,26,SH,3,15,,,,,,,,,,,,,,,
124,18,6,2014,Bcomeau,,,,,26,SH,3,17,,,,,,,,,,,,,,,
125,18,6,2014,Bcomeau,,,,,26,SH,3,18,f,60,,,,,,,,,,,,,
126,18,6,2014,Bcomeau,,,,,26,SH,3,19,m,50,,,,,,,,,,,,,
127,18,6,2014,Bcomeau,,,,,26,SH,3,20,m,59,,,,,,,,,,,,,
128,23,6,2014,Dgiard,,,,,19,SH,4,2,m,74,,,,,,,,,,,,,
129,23,6,2014,Dgiard,,,,,19,SH,4,14,m,16,,,,,,,,,,,,,
130,23,6,2014,Dgiard,,,,,19,SH,4,14,m,21,,,,,,,,,,,,,
131,23,6,2014,Dgiard,,,,,19,SH,4,16,m,16,,,,,,,,,,,,,
132,23,6,2014,Dgiard,,,,,19,SH,4,16,f,40,,,,,,,,,,,,,
133,23,6,2014,Dgiard,,,,,19,SH,4,17,m,18,,,,,,,,,,,,,
134,23,6,2014,Dgiard,,,,,19,SH,4,17,m,21,,,,,,,,,,,,,
135,23,6,2014,Dgiard,,,,,19,SH,4,17,m,13,,,,,,,,,,,,,
136,23,6,2014,Dgiard,,,,,19,SH,4,18,f,43,,,,,,,,,,,,,
137,23,6,2014,Dgiard,,,,,19,SH,4,18,m,18,,,,,,,,,,,,,
138,23,6,2014,Dgiard,,,,,19,SH,4,19,m,18,,,,,,,,,,,,,
139,23,6,2014,Dgiard,,,,,19,SH,4,19,m,56,,,,,,,,,,,,,
140,23,6,2014,Dgiard,,,,,19,SH,4,20,m,20,,,,,,,,,,,,,
141,23,6,2014,Bcomeau,,,,,19,SH,4,1,m,33,,,,,,,,,,,,,
142,23,6,2014,Bcomeau,,,,,19,SH,4,2,i,18,,,,,,,,,,,,,
143,23,6,2014,Bcomeau,,,,,19,SH,4,10,m,50,,,,,,,,,,,,,
144,23,6,2014,Bcomeau,,,,,19,SH,4,10,i,16,,,,,,,,,,,,,
145,23,6,2014,Bcomeau,,,,,19,SH,4,15,i,18,,,,,,,,,,,,,
146,23,6,2014,Bcomeau,,,,,19,SH,4,17,f,36,,,,,,,,,,,,,
147,23,6,2014,Bcomeau,,,,,19,SH,4,18,i,17,,,,,,,,,,,,,
148,23,6,2014,Bcomeau,,,,,19,SH,4,18,i,15,,,,,,,,,,,,,
149,23,6,2014,Bcomeau,,,,,19,SH,4,18,i,17,,,,,,,,,,,,,
150,23,6,2014,Bcomeau,,,,,19,SH,4,19,f,44,,,,,,,,,,,,,
151,23,6,2014,Bcomeau,,,,,19,SH,4,19,m,60,,,,,,,,,,,,,
152,23,6,2014,Bcomeau,,,,,19,SH,4,19,f,44,,,,,,,,,,,,,
153,23,6,2014,Bcomeau,,,,,19,SH,4,20,m,33,,,,,,,,,,,,,
154,23,6,2014,Bcomeau,,,,,19,SH,5,2,i,16,,,,,,,,,,,,,
155,23,6,2014,Bcomeau,,,,,19,SH,5,4,f,54,,,,,,,,,,,,,
156,23,6,2014,Bcomeau,,,,,19,SH,5,4,i,17,,,,,,,,,,,,,
