Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,,,,,,
14,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,13,,,,0,0,1,1,0,1,Simple,LS,,,,,,,,,,,,,
15,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,14,i,85,Mar,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
16,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,14,i,86,Mar,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
17,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,15,,,,0,0,1,1,0,1,Simple,,,,,,,,,,,,,,
18,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,17,m,35,,0,1,1,1,1,1,Simple,LS,,,,,,,,,,,,,
19,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,18,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
20,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,19,,,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
21,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,20,m,50,,0,0,1,1,1,1,Simple,LS,,,,,,,,,,,,,
22,24,6,2005,Mcomeau,4615.874,6427.864,4615.88,6427.939,27,SH,1,20,m,110,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
23,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,1,f,91,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
24,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,1,m,94,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
25,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,2,b,77,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
26,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,3,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
27,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,4,f,90,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
28,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,5,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
29,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,7,m,45,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
30,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,9,b,79,,0,0,1,1,0,0,Simple,,,,,,,,,,,,,,
31,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,11,i,71,Can,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
32,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,11,i,69,Can,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
33,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,12,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
34,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,13,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
35,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,14,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
36,24,6,2005,Rvienneau,4615.874,6427.864,4615.88,6427.939,29,SH,1,15,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
