Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Ca,type,commentaire,fond,,,,,,,,,,,,
172,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,17,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
173,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,18,,,,1,0,0,1,1,0,Simple,,,,,,,,,,,,,,
174,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,19,,,,1,0,0,1,1,1,Simple,,,,,,,,,,,,,,
175,27,6,2005,Gpaulin,4615.609,6425.288,4615.599,6425.355,27,RO,2,20,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
176,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,1,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
177,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,2,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
178,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,3,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
179,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,4,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
180,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,5,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
181,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,6,,,,0,0,0,1,1,1,Simple,LS,,,,,,,,,,,,,
182,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,7,b,68,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
183,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,8,i,70,Can,0,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
184,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,9,,,,0,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
185,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,10,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
186,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,11,,,,0,0,0,1,0,1,Simple,,,,,,,,,,,,,,
187,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,12,,,,0,0,0,1,0,1,Simple,,,,,,,,,,,,,,
188,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,13,,,,0,0,0,1,1,1,Simple,LS,,,,,,,,,,,,,
189,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,14,m,65,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
190,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,15,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
191,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,16,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
192,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,17,f,76,,0,0,0,0,1,1,Simple,LS,,,,,,,,,,,,,
193,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,18,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
194,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,19,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
195,27,6,2005,Gpaulin,4615.545,6425.3,4615.544,6425.381,24,RO,3,20,,,,0,0,0,1,1,1,Simple,,,,,,,,,,,,,,
196,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,1,,,,0,0,1,0,1,0,Simple,,,,,,,,,,,,,,
197,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,2,,,,0,0,1,0,1,0,Simple,,,,,,,,,,,,,,
198,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,3,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
199,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,4,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
200,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,5,,,,0,0,1,1,1,1,Simple,,,,,,,,,,,,,,
201,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,6,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
202,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,7,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
203,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,8,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
204,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,9,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
205,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,10,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
206,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,11,b,77,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
207,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,12,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
208,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,13,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
209,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,14,m,61,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
210,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,15,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
211,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,16,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
212,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,17,,,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
213,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,18,m,68,,0,0,0,0,1,1,Simple,,,,,,,,,,,,,,
214,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,19,,,,0,0,0,0,0,0,Simple,,,,,,,,,,,,,,
215,27,6,2005,Rvienneau,4615.545,6425.3,4615.544,6425.381,24,RO,3,20,,,,0,0,0,0,1,0,Simple,,,,,,,,,,,,,,
