Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,,,,,,,
90,20,6,2006,Mcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,19,,,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
91,20,6,2006,Mcomeau,4615.7692,6428.239,4615.7692,6428.158,20,SH,5,20,m,121,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
92,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,1,,,,0,0,1,0,0,1,1,Simple,LS,,,,,,,,,,
93,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,2,,,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
94,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,3,f,71,,0,0,1,1,0,1,1,Simple,,,,,,,,,,,
95,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,4,,,,1,0,1,1,0,0,1,Simple,,,,,,,,,,,
96,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,5,,,,1,0,1,1,0,1,0,Simple,,,,,,,,,,,
97,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,6,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
98,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,7,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
99,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,11,,,,0,0,1,0,0,0,1,Simple,,,,,,,,,,,
100,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,12,,,,0,0,1,0,0,0,1,Simple,LS,,,,,,,,,,
101,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,13,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
102,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,14,m,52,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
103,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,14,m,50,,0,0,1,1,0,0,1,Simple,,,,,,,,,,,
104,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,15,,,,1,0,1,1,0,0,1,Simple,,,,,,,,,,,
105,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,16,,,,0,0,1,1,0,0,1,Simple,2LS,,,,,,,,,,
106,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,17,,,,1,0,1,1,0,1,0,Simple,,,,,,,,,,,
107,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,18,,,,1,0,1,1,0,1,0,Simple,,,,,,,,,,,
108,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,19,,,,0,0,1,0,0,1,0,Simple,,,,,,,,,,,
109,20,6,2006,Gpaulin,4615.8148,6428.6206,4615.8148,6428.5372,15,SH,12,20,,,,0,0,1,1,0,1,0,Simple,,,,,,,,,,,
110,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,1,,,,1,0,1,1,0,1,0,Simple,,,,,,,,,,,
111,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,3,,,,1,0,1,1,0,0,1,Simple,,,,,,,,,,,
112,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,11,,,,0,0,0,1,0,0,1,Simple,,,,,,,,,,,
113,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,12,,,,1,0,0,0,1,1,0,Simple,,,,,,,,,,,
114,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,16,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
115,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,17,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
116,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,18,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
117,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,19,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
118,21,6,2006,Mcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,20,,,,0,0,0,1,0,1,0,Simple,,,,,,,,,,,
119,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,7,,,,1,0,0,1,0,1,0,Simple,,,,,,,,,,,
120,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,9,,,,1,0,0,1,0,1,0,Simple,,,,,,,,,,,
121,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,10,m,96,,1,0,0,1,0,1,1,Simple,,,,,,,,,,,
122,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,10,f,34,,1,0,0,1,0,1,1,Simple,,,,,,,,,,,
123,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,11,,,,0,0,0,1,1,0,1,Simple,LS,,,,,,,,,,
124,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,12,,,,1,0,0,0,1,0,1,Simple,,,,,,,,,,,
125,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,13,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
126,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,14,f,29,,1,0,1,0,0,0,0,Simple,,,,,,,,,,,
127,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,14,m,30,,1,0,1,0,0,0,0,Simple,,,,,,,,,,,
128,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,15,,,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
129,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,16,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
130,21,6,2006,Bcomeau,4615.668,6425.322,4615.661,6425.394,20,RO,1,17,,,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
131,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,1,,,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
132,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,2,,,,1,0,0,0,0,1,0,Simple,,,,,,,,,,,
133,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,3,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
134,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,4,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
135,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,5,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
136,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,6,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
137,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,7,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
138,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,8,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
139,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,9,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
140,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,10,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
141,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,11,m,45,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
142,21,6,2006,Gpaulin,4615.609,6425.288,4615.599,6425.355,25,RO,2,12,m,93,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
