Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,,,,,,,,,
342,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,10,,,,0,0,0,0,1,1,1,Simple,LS,,,,,,,,,,
343,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,11,f,68,,0,0,0,0,1,1,1,Simple,LS,,,,,,,,,,
344,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,14,,,,1,0,0,0,1,1,0,Simple,LS,,,,,,,,,,
345,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,15,,,,0,0,0,1,1,1,0,Simple,,,,,,,,,,,
346,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,17,,,,0,0,0,1,1,1,0,Simple,,,,,,,,,,,
347,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,19,,,,0,0,0,1,1,1,0,Simple,,,,,,,,,,,
348,23,6,2006,Bcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,20,i,18,,0,0,0,1,1,1,0,Simple,LS,,,,,,,,,,
349,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,3,f,44,,1,0,0,0,1,1,1,Simple,4LS,,,,,,,,,,
350,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,3,f,43,,1,0,0,0,1,1,1,Simple,,,,,,,,,,,
351,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,5,,,,1,0,0,1,1,0,1,Simple,LS,,,,,,,,,,
352,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,6,,,,1,0,0,1,1,1,1,Simple,,,,,,,,,,,
353,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,15,f,71,,1,0,0,0,1,0,1,Simple,,,,,,,,,,,
354,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,16,m,125,,1,0,0,0,1,1,1,Simple,2LS,,,,,,,,,,
355,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,18,,,,1,0,0,0,1,0,1,Simple,,,,,,,,,,,
356,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,20,f,33,,1,0,0,0,1,1,1,Simple,,,,,,,,,,,
357,23,6,2006,Mcomeau,4615.591,6425.9974,4615.591,6425.9158,28,RO,20,20,m,52,,1,0,0,0,1,1,1,Simple,,,,,,,,,,,
358,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,1,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
359,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,13,m,23,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
360,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,14,,,,1,0,0,0,0,1,1,Simple,LS,,,,,,,,,,
361,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,15,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
362,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,16,,,,1,0,0,0,0,1,1,Simple,LS,,,,,,,,,,
363,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,17,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
364,23,6,2006,Gpaulin,4615.633,6426.108,4615.632,6426.027,30,RO,21,18,m,26,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
365,23,6,2006,Rvienneau,4615.633,6426.108,4615.632,6426.027,30,RO,21,1,m,82,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
366,23,6,2006,Rvienneau,4615.633,6426.108,4615.632,6426.027,30,RO,21,2,m,37,,1,0,1,0,0,1,0,Simple,,,,,,,,,,,
367,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,1,f,78,,1,0,0,0,1,0,0,Simple,,,,,,,,,,,
368,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,3,,,,1,0,0,0,1,0,1,Simple,LS,,,,,,,,,,
369,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,5,,,,1,0,0,0,1,0,1,Simple,LS,,,,,,,,,,
370,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,16,m,111,,1,0,0,0,1,0,1,Simple,,,,,,,,,,,
371,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,20,f,49,,1,0,0,1,1,0,1,Simple,,,,,,,,,,,
372,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,20,f,75,,1,0,0,1,1,0,1,Simple,,,,,,,,,,,
373,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,20,f,81,,1,0,0,1,1,0,1,Simple,,,,,,,,,,,
374,23,6,2006,Mcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,20,m,110,,1,0,0,1,1,0,1,Simple,,,,,,,,,,,
375,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,1,,,,1,0,0,0,0,0,1,Simple,,,,,,,,,,,
376,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,2,m,140,,1,0,0,0,0,1,1,Simple,EXUVIA 119M,,,,,,,,,,
377,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,3,,,,0,0,0,0,0,1,1,Simple,,,,,,,,,,,
378,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,4,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
379,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,6,,,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
380,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,10,m,112,,1,0,0,0,0,0,0,Simple,,,,,,,,,,,
381,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,15,b3,84,,1,0,0,0,0,1,1,Simple,,,,,,,,,,,
382,23,6,2006,Bcomeau,4615.545,6425.922,4615.544,6425.838,27,RO,22,18,,,,0,0,0,0,1,0,1,Simple,,,,,,,,,,,
