Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,
86,9,8,2012,Mcomeau,,,,,,FH,L4-T2,13,f,67,,,,,,,,,,,,
87,9,8,2012,Mcomeau,,,,,,FH,L4-T2,14,,,,,,,,,,,,,,
88,9,8,2012,Mcomeau,,,,,,FH,L4-T2,15,f,70,,,,,,,,,,,,
89,9,8,2012,Mcomeau,,,,,,FH,L4-T2,16,,,,,,,,,,,,,,
90,9,8,2012,Mcomeau,,,,,,FH,L4-T2,17,,,,,,,,,,,,,,
91,9,8,2012,Mcomeau,,,,,,FH,L4-T2,18,,,,,,,,,,,,,,
92,9,8,2012,Mcomeau,,,,,,FH,L4-T2,19,,,,,,,,,,,,,,
93,9,8,2012,Mcomeau,,,,,,FH,L4-T2,20,m,58,,,,,,,,,,,,
94,9,8,2012,Bcomeau,,,,,,FH,L4-T2,1,,,,,,,,,,,,,,
95,9,8,2012,Bcomeau,,,,,,FH,L4-T2,2,,,,,,,,,,,,,,
96,9,8,2012,Bcomeau,,,,,,FH,L4-T2,3,,,,,,,,,,,,,,
97,9,8,2012,Bcomeau,,,,,,FH,L4-T2,4,,,,,,,,,,,,,,
98,9,8,2012,Bcomeau,,,,,,FH,L4-T2,5,,,,,,,,,,,,,,
99,9,8,2012,Bcomeau,,,,,,FH,L4-T2,6,,,,,,,,,,,,,,
100,9,8,2012,Bcomeau,,,,,,FH,L4-T2,7,,,,,,,,,,,,,,
101,9,8,2012,Bcomeau,,,,,,FH,L4-T2,8,,,,,,,,,,,,,,
102,9,8,2012,Bcomeau,,,,,,FH,L4-T2,9,f,48,,,,,,,,,,,,
103,9,8,2012,Bcomeau,,,,,,FH,L4-T2,10,,,,,,,,,,,,,,
104,9,8,2012,Bcomeau,,,,,,FH,L4-T2,11,,,,,,,,,,,,,,
105,9,8,2012,Bcomeau,,,,,,FH,L4-T2,12,,,,,,,,,,,,,,
106,9,8,2012,Bcomeau,,,,,,FH,L4-T2,13,,,,,,,,,,,,,,
107,9,8,2012,Bcomeau,,,,,,FH,L4-T2,14,,,,,,,,,,,,,,
108,9,8,2012,Bcomeau,,,,,,FH,L4-T2,15,,,,,,,,,,,,,,
109,9,8,2012,Bcomeau,,,,,,FH,L4-T2,16,,,,,,,,,,,,,,
110,9,8,2012,Bcomeau,,,,,,FH,L4-T2,17,,,,,,,,,,,,,,
111,9,8,2012,Bcomeau,,,,,,FH,L4-T2,18,,,,,,,,,,,,,,
112,9,8,2012,Bcomeau,,,,,,FH,L4-T2,19,,,,,,,,,,,,,,
113,9,8,2012,Bcomeau,,,,,,FH,L4-T2,20,,,,,,,,,,,,,,
114,9,8,2012,Mcomeau,,,,,,FH,L4-T4,1,,,,,,,,,,,,,,
115,9,8,2012,Mcomeau,,,,,,FH,L4-T4,2,m,121,,,,,,,,,,,,
116,9,8,2012,Mcomeau,,,,,,FH,L4-T4,3,m,45,,,,,,,,,,,,
117,9,8,2012,Mcomeau,,,,,,FH,L4-T4,4,,,,,,,,,,,,,,
118,9,8,2012,Mcomeau,,,,,,FH,L4-T4,5,,,,,,,,,,,,,,
119,9,8,2012,Mcomeau,,,,,,FH,L4-T4,6,,,,,,,,,,,,,,
120,9,8,2012,Mcomeau,,,,,,FH,L4-T4,7,,,,,,,,,,,,,,
121,9,8,2012,Mcomeau,,,,,,FH,L4-T4,8,,,,,,,,,,,,,,
122,9,8,2012,Mcomeau,,,,,,FH,L4-T4,9,,,,,,,,,,,,,,
123,9,8,2012,Mcomeau,,,,,,FH,L4-T4,10,,,,,,,,,,,,,,
124,9,8,2012,Mcomeau,,,,,,FH,L4-T4,11,,,,,,,,,,,,,,
125,9,8,2012,Mcomeau,,,,,,FH,L4-T4,12,m,79,,,,,,,,,,,,
126,9,8,2012,Mcomeau,,,,,,FH,L4-T4,13,,,,,,,,,,,,,,
127,9,8,2012,Mcomeau,,,,,,FH,L4-T4,14,,,,,,,,,,,,,,
128,9,8,2012,Mcomeau,,,,,,FH,L4-T4,15,,,,,,,,,,,,,,
129,9,8,2012,Mcomeau,,,,,,FH,L4-T4,16,,,,,,,,,,,,,,
130,9,8,2012,Mcomeau,,,,,,FH,L4-T4,17,,,,,,,,,,,,,,
131,9,8,2012,Mcomeau,,,,,,FH,L4-T4,18,,,,,,,,,,,,,,
132,9,8,2012,Mcomeau,,,,,,FH,L4-T4,19,,,,,,,,,,,,,,
133,9,8,2012,Mcomeau,,,,,,FH,L4-T4,20,,,,,,,,,,,,,,
134,9,8,2012,Gpaulin,,,,,,FH,L4-T4,1,,,,,,,,,,,,,,
135,9,8,2012,Gpaulin,,,,,,FH,L4-T4,2,m,95,,,,,,,,,,,,
136,9,8,2012,Gpaulin,,,,,,FH,L4-T4,3,b,76,,,,,,,,,,,,
137,9,8,2012,Gpaulin,,,,,,FH,L4-T4,4,,,,,,,,,,,,,,
138,9,8,2012,Gpaulin,,,,,,FH,L4-T4,5,,,,,,,,,,,,,,
139,9,8,2012,Gpaulin,,,,,,FH,L4-T4,6,,,,,,,,,,,,,,
140,9,8,2012,Gpaulin,,,,,,FH,L4-T4,7,,,,,,,,,,,,,,
141,9,8,2012,Gpaulin,,,,,,FH,L4-T4,8,,,,,,,,,,,,,,
142,9,8,2012,Gpaulin,,,,,,FH,L4-T4,9,,,,,,,,,,,,,,
143,9,8,2012,Gpaulin,,,,,,FH,L4-T4,10,,,,,,,,,,,,,,
144,9,8,2012,Gpaulin,,,,,,FH,L4-T4,11,,,,,,,,,,,,,,
145,9,8,2012,Gpaulin,,,,,,FH,L4-T4,12,,,,,,,,,,,,,,
146,9,8,2012,Gpaulin,,,,,,FH,L4-T4,13,,,,,,,,,,,,,,
147,9,8,2012,Gpaulin,,,,,,FH,L4-T4,14,,,,,,,,,,,,,,
148,9,8,2012,Gpaulin,,,,,,FH,L4-T4,15,,,,,,,,,,,,,,
149,9,8,2012,Gpaulin,,,,,,FH,L4-T4,16,,,,,,,,,,,,,,
150,9,8,2012,Gpaulin,,,,,,FH,L4-T4,17,,,,,,,,,,,,,,
151,9,8,2012,Gpaulin,,,,,,FH,L4-T4,18,m,52,,,,,,,,,,,,
152,9,8,2012,Gpaulin,,,,,,FH,L4-T4,19,,,,,,,,,,,,,,
153,9,8,2012,Gpaulin,,,,,,FH,L4-T4,20,,,,,,,,,,,,,,
154,9,8,2012,Mcomeau,,,,,,FH,R5-T2,7,,,,,,,,,,,,,,
155,9,8,2012,Mcomeau,,,,,,FH,R5-T2,8,,,,,,,,,,,,,,
156,9,8,2012,Mcomeau,,,,,,FH,R5-T2,9,,,,,,,,,,,,,,
157,9,8,2012,Mcomeau,,,,,,FH,R5-T2,10,,,,,,,,,,,,,,
158,9,8,2012,Mcomeau,,,,,,FH,R5-T2,11,,,,,,,,,,,,,,
159,9,8,2012,Mcomeau,,,,,,FH,R5-T2,12,,,,,,,,,,,,,,
160,9,8,2012,Mcomeau,,,,,,FH,R5-T2,13,,,,,,,,,,,,,,
161,9,8,2012,Mcomeau,,,,,,FH,R5-T2,14,,,,,,,,,,,,,,
162,9,8,2012,Mcomeau,,,,,,FH,R5-T2,15,,,,,,,,,,,,,,
163,9,8,2012,Mcomeau,,,,,,FH,R5-T2,16,,,,,,,,,,,,,,
164,9,8,2012,Mcomeau,,,,,,FH,R5-T2,17,,,,,,,,,,,,,,
165,9,8,2012,Mcomeau,,,,,,FH,R5-T2,18,,,,,,,,,,,,,,
166,9,8,2012,Mcomeau,,,,,,FH,R5-T2,19,,,,,,,,,,,,,,
167,9,8,2012,Mcomeau,,,,,,FH,R5-T2,20,,,,,,,,,,,,,,
168,9,8,2012,Gpaulin,,,,,,FH,R5-T2,1,,,,,,,,,,,,,,
169,9,8,2012,Gpaulin,,,,,,FH,R5-T2,2,,,,,,,,,,,,,,
170,9,8,2012,Gpaulin,,,,,,FH,R5-T2,3,,,,,,,,,,,,,,
171,9,8,2012,Gpaulin,,,,,,FH,R5-T2,4,,,,,,,,,,,,,,
172,9,8,2012,Gpaulin,,,,,,FH,R5-T2,5,,,,,,,,,,,,,,
173,9,8,2012,Gpaulin,,,,,,FH,R5-T2,6,,,,,,,,,,,,,,
174,9,8,2012,Gpaulin,,,,,,FH,R5-T2,7,,,,,,,,,,,,,,
175,9,8,2012,Gpaulin,,,,,,FH,R5-T2,8,,,,,,,,,,,,,,
176,9,8,2012,Gpaulin,,,,,,FH,R5-T2,9,,,,,,,,,,,,,,
177,9,8,2012,Gpaulin,,,,,,FH,R5-T2,10,,,,,,,,,,,,,,
178,9,8,2012,Gpaulin,,,,,,FH,R5-T2,11,,,,,,,,,,,,,,
179,9,8,2012,Gpaulin,,,,,,FH,R5-T2,12,,,,,,,,,,,,,,
180,9,8,2012,Gpaulin,,,,,,FH,R5-T2,13,,,,,,,,,,,,,,
181,9,8,2012,Gpaulin,,,,,,FH,R5-T2,14,,,,,,,,,,,,,,
182,9,8,2012,Gpaulin,,,,,,FH,R5-T2,15,,,,,,,,,,,,,,
183,9,8,2012,Gpaulin,,,,,,FH,R5-T2,16,,,,,,,,,,,,,,
184,9,8,2012,Gpaulin,,,,,,FH,R5-T2,17,,,,,,,,,,,,,,
185,9,8,2012,Gpaulin,,,,,,FH,R5-T2,18,,,,,,,,,,,,,,
186,9,8,2012,Gpaulin,,,,,,FH,R5-T2,19,,,,,,,,,,,,,,
187,9,8,2012,Gpaulin,,,,,,FH,R5-T2,20,,,,,,,,,,,,,,
188,25,6,2013,Mcomeau,,,,,,FH,L1-T1,1,,,,,,,,,,,,,,
189,25,6,2013,Mcomeau,,,,,,FH,L1-T1,2,,,,,,,,,,,,,,
190,25,6,2013,Mcomeau,,,,,,FH,L1-T1,3,,,,,,,,,,,,,,
191,25,6,2013,Mcomeau,,,,,,FH,L1-T1,4,,,,,,,,,,,,,,
192,25,6,2013,Mcomeau,,,,,,FH,L1-T1,5,,,,,,,,,,,,,,
193,25,6,2013,Mcomeau,,,,,,FH,L1-T1,6,,,,,,,,,,,,,,
194,25,6,2013,Mcomeau,,,,,,FH,L1-T1,7,,,,,,,,,,,,,,
195,25,6,2013,Mcomeau,,,,,,FH,L1-T1,8,f,83,,,,,,,,,,,,
196,25,6,2013,Mcomeau,,,,,,FH,L1-T1,9,,,,,,,,,,,,,,
197,25,6,2013,Mcomeau,,,,,,FH,L1-T1,10,,,,,,,,,,,,,,
198,25,6,2013,Mcomeau,,,,,,FH,L1-T1,11,,,,,,,,,,,,,,
199,25,6,2013,Mcomeau,,,,,,FH,L1-T1,12,,,,,,,,,,,,,,
200,25,6,2013,Mcomeau,,,,,,FH,L1-T1,13,,,,,,,,,,,,,,
201,25,6,2013,Mcomeau,,,,,,FH,L1-T1,14,,,,,,,,,,,,,,
202,25,6,2013,Mcomeau,,,,,,FH,L1-T1,15,,,,,,,,,,,,,,
